[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[251987.657162] task command: chrome, state: 1, process id: 4339
[251987.657163] task command: chrome, state: 1, process id: 4417
[251987.657164] task command: chrome, state: 1, process id: 4452
[251987.657164] task command: chrome, state: 1, process id: 4529
[251987.657165] task command: chrome, state: 1, process id: 4547
[251987.657166] task command: chrome, state: 1, process id: 4565
[251987.657166] task command: chrome, state: 1, process id: 4577
[251987.657167] task command: chrome, state: 1, process id: 4595
[251987.657168] task command: atom, state: 1, process id: 5855
[251987.657168] task command: atom, state: 1, process id: 5857
[251987.657169] task command: atom, state: 1, process id: 5860
[251987.657170] task command: atom, state: 1, process id: 5886
[251987.657171] task command: atom, state: 1, process id: 5905
[251987.657171] task command: atom, state: 1, process id: 5981
[251987.657172] task command: gvfsd-metadata, state: 1, process id: 6184
[251987.657173] task command: gvfsd-network, state: 1, process id: 9105
[251987.657174] task command: gvfsd-dnssd, state: 1, process id: 9134
[251987.657174] task command: gvfsd-http, state: 1, process id: 30394
[251987.657175] task command: chrome, state: 1, process id: 18992
[251987.657176] task command: chrome, state: 1, process id: 19873
[251987.657177] task command: slack, state: 1, process id: 21102
[251987.657178] task command: slack, state: 1, process id: 21105
[251987.657178] task command: slack, state: 1, process id: 21133
[251987.657179] task command: slack, state: 1, process id: 24669
[251987.657180] task command: evinced, state: 1, process id: 31664
[251987.657180] task command: gconfd-2, state: 1, process id: 13459
[251987.657181] task command: chrome, state: 1, process id: 27673
[251987.657182] task command: chrome, state: 1, process id: 29056
[251987.657182] task command: irq/128-mei_me, state: 1, process id: 464
[251987.657183] task command: chrome, state: 1, process id: 2609
[251987.657184] task command: cupsd, state: 1, process id: 7218
[251987.657185] task command: cups-browsed, state: 1, process id: 7219
[251987.657185] task command: chrome, state: 1, process id: 10268
[251987.657186] task command: chrome, state: 1, process id: 14118
[251987.657187] task command: chrome, state: 1, process id: 29756
[251987.657187] task command: chrome, state: 1, process id: 30612
[251987.657188] task command: chrome, state: 1, process id: 30652
[251987.657188] task command: evince, state: 1, process id: 30719
[251987.657189] task command: chrome, state: 1, process id: 545
[251987.657190] task command: obexd, state: 1, process id: 2577
[251987.657190] task command: chrome, state: 1, process id: 2759
[251987.657191] task command: chrome, state: 1, process id: 3462
[251987.657192] task command: dconf-service, state: 1, process id: 3546
[251987.657193] task command: dhclient, state: 1, process id: 3672
[251987.657193] task command: chrome, state: 1, process id: 3734
[251987.657194] task command: chrome, state: 1, process id: 11189
[251987.657195] task command: chrome, state: 1, process id: 13654
[251987.657195] task command: kworker/1:2, state: 1026, process id: 19171
[251987.657196] task command: chrome, state: 1, process id: 19336
[251987.657197] task command: chrome, state: 1, process id: 19349
[251987.657197] task command: chrome, state: 1, process id: 19366
[251987.657198] task command: chrome, state: 1, process id: 19380
[251987.657198] task command: bash, state: 1, process id: 21980
[251987.657199] task command: kworker/6:0, state: 1026, process id: 22533
[251987.657200] task command: kworker/0:0, state: 1026, process id: 22840
[251987.657201] task command: chrome, state: 1, process id: 22915
[251987.657202] task command: evince, state: 1, process id: 23728
[251987.657202] task command: kworker/2:2, state: 1026, process id: 24579
[251987.657203] task command: kworker/4:0, state: 1026, process id: 24815
[251987.657204] task command: kworker/2:0, state: 1026, process id: 28372
[251987.657204] task command: kworker/7:3, state: 1026, process id: 29053
[251987.657205] task command: chrome, state: 1, process id: 29239
[251987.657205] task command: chrome, state: 1, process id: 29861
[251987.657206] task command: kworker/6:1, state: 1026, process id: 30503
[251987.657207] task command: kworker/u16:1, state: 1026, process id: 31823
[251987.657207] task command: chrome, state: 1, process id: 31852
[251987.657208] task command: chrome, state: 1, process id: 31880
[251987.657209] task command: kworker/u16:0, state: 1026, process id: 32638
[251987.657210] task command: kworker/3:2, state: 1026, process id: 32650
[251987.657210] task command: chrome, state: 1, process id: 2714
[251987.657211] task command: kworker/5:0, state: 1026, process id: 2740
[251987.657212] task command: kworker/7:1, state: 1026, process id: 2743
[251987.657212] task command: chrome, state: 1, process id: 2744
[251987.657213] task command: kworker/u16:3, state: 1026, process id: 2929
[251987.657214] task command: kworker/3:0, state: 1026, process id: 2930
[251987.657214] task command: kworker/1:0, state: 1026, process id: 3395
[251987.657215] task command: chrome, state: 1, process id: 3405
[251987.657216] task command: kworker/0:2, state: 1026, process id: 3436
[251987.657217] task command: kworker/4:1, state: 1026, process id: 3450
[251987.657217] task command: chrome, state: 1, process id: 3451
[251987.657218] task command: kworker/5:1, state: 1026, process id: 3485
[251987.657219] task command: chrome, state: 1, process id: 3486
[251987.657219] task command: chrome, state: 1, process id: 3498
[251987.657220] task command: kworker/u16:2, state: 2, process id: 4816
[251987.657221] task command: kworker/3:1, state: 1026, process id: 4817
[251987.657222] task command: kworker/6:2, state: 1026, process id: 5319
[251987.657222] task command: sudo, state: 1, process id: 5393
[251987.657223] task command: insmod, state: 0, process id: 5394
[252059.384359] Removing Kernel Module
[252069.548413] Loading Kernel Module
[252069.548415] task command: systemd, state: 1, process id: 1
[252069.548415] task command: kthreadd, state: 1, process id: 2
[252069.548416] task command: rcu_gp, state: 1026, process id: 3
